step,epoch,loss_total,loss_qfl,loss_dfl,loss_box,lr
40,0,1.6238679885864258,1.4248785972595215,0.07211039960384369,0.12687894701957703,5e-05
60,0,1.459593653678894,1.3816490173339844,0.02839835174381733,0.04954618588089943,5e-05
80,0,1.3930606842041016,1.3358948230743408,0.020893678069114685,0.036272190511226654,5e-05
100,0,1.4208756685256958,1.3013646602630615,0.04385827109217644,0.07565269619226456,5e-05
120,0,1.3097997903823853,1.2689048051834106,0.014978982508182526,0.025915956124663353,6e-05
140,0,1.3275907039642334,1.2117124795913696,0.042597830295562744,0.07328029721975327,7.000000000000001e-05
160,0,1.2859567403793335,1.1673767566680908,0.043535906821489334,0.07504408806562424,8e-05
180,0,1.1496951580047607,1.1127281188964844,0.01385451015084982,0.023112481459975243,8.999999999999999e-05
200,0,1.1566579341888428,1.0574088096618652,0.037074752151966095,0.062174297869205475,0.0001
220,0,1.1143821477890015,0.9895545244216919,0.04725745692849159,0.07757021486759186,0.00011
240,0,0.9869099259376526,0.9251657724380493,0.023272773250937462,0.038471419364213943,0.00012
260,0,0.9303925633430481,0.841859757900238,0.03369464725255966,0.05483818054199219,0.00013000000000000002
280,0,0.9070239067077637,0.7642772793769836,0.054598428308963776,0.08814819902181625,0.00014000000000000001
300,0,0.7628092765808105,0.6784747242927551,0.03272832930088043,0.051606226712465286,0.00015
320,0,0.6818479895591736,0.5965242981910706,0.03352155536413193,0.05180218070745468,0.00016
355,1,0.5614023208618164,0.45735177397727966,0.04161189869046211,0.062438637018203735,0.0001775
375,1,0.4542514681816101,0.395084023475647,0.024027762934565544,0.035139672458171844,0.0001875
395,1,0.4588090479373932,0.3113408088684082,0.05914841964840889,0.0883198082447052,0.0001975
415,1,0.29185616970062256,0.24964869022369385,0.017050260677933693,0.025157226249575615,0.0002075
435,1,0.28922539949417114,0.19430483877658844,0.03825617581605911,0.05666438490152359,0.0002175
455,1,0.2012493908405304,0.14919081330299377,0.02114381268620491,0.03091476485133171,0.0002275
475,1,0.20399507880210876,0.11122684925794601,0.03732861578464508,0.055439628660678864,0.0002375
495,1,0.21840301156044006,0.08632373064756393,0.05278400331735611,0.07929527014493942,0.0002475
515,1,0.12540459632873535,0.0644652470946312,0.024635985493659973,0.03630336746573448,0.0002575
535,1,0.19385945796966553,0.050828300416469574,0.05660415440797806,0.08642701059579849,0.0002675
555,1,0.10889245569705963,0.04192052036523819,0.026094308122992516,0.04087762162089348,0.0002775
575,1,0.09804604947566986,0.035436294972896576,0.02461765892803669,0.03799210116267204,0.0002875
595,1,0.10711927711963654,0.028403587639331818,0.03128844127058983,0.04742724820971489,0.00029749999999999997
615,1,0.09582057595252991,0.024062709882855415,0.027256857603788376,0.04450100660324097,0.0003075
635,1,0.11490070819854736,0.020401164889335632,0.036591168493032455,0.057908374816179276,0.0003175
655,1,0.13075855374336243,0.018673911690711975,0.042131390422582626,0.06995325535535812,0.00032750000000000005
690,2,0.17527224123477936,0.014307716861367226,0.06169716641306877,0.09926735609769821,0.000345
710,2,0.049429751932621,0.015254566445946693,0.012382634915411472,0.021792549639940262,0.000355
730,2,0.10755981504917145,0.012687861919403076,0.03268558531999588,0.06218637153506279,0.000365
750,2,0.08869843184947968,0.010321500711143017,0.02744992822408676,0.05092700570821762,0.000375
770,2,0.07719668000936508,0.0103268101811409,0.022349506616592407,0.044520363211631775,0.00038500000000000003
790,2,0.13961108028888702,0.009474474005401134,0.04372551292181015,0.08641108870506287,0.000395
20,0,1.5448344945907593,1.4687036275863647,0.027626844123005867,0.048503994941711426,5e-05
810,2,0.08369749784469604,0.008564895018935204,0.023936735466122627,0.05119587108492851,0.00040500000000000003
40,0,1.6238679885864258,1.4248785972595215,0.07211039960384369,0.12687894701957703,5e-05
830,2,0.058752503246068954,0.0069812992587685585,0.016904039308428764,0.03486716374754906,0.000415
60,0,1.459593653678894,1.3816490173339844,0.02839835174381733,0.04954618588089943,5e-05
80,0,1.3930606842041016,1.3358948230743408,0.020893678069114685,0.036272190511226654,5e-05
100,0,1.4208756685256958,1.3013646602630615,0.04385827109217644,0.07565269619226456,5e-05
120,0,1.3097997903823853,1.2689048051834106,0.014978982508182526,0.025915956124663353,6e-05
140,0,1.3275907039642334,1.2117124795913696,0.042597830295562744,0.07328029721975327,7.000000000000001e-05
160,0,1.2859567403793335,1.1673767566680908,0.043535906821489334,0.07504408806562424,8e-05
180,0,1.1496951580047607,1.1127281188964844,0.01385451015084982,0.023112481459975243,8.999999999999999e-05
200,0,1.1566579341888428,1.0574088096618652,0.037074752151966095,0.062174297869205475,0.0001
220,0,1.1143821477890015,0.9895545244216919,0.04725745692849159,0.07757021486759186,0.00011
240,0,0.9869099259376526,0.9251657724380493,0.023272773250937462,0.038471419364213943,0.00012
260,0,0.9303925633430481,0.841859757900238,0.03369464725255966,0.05483818054199219,0.00013000000000000002
280,0,0.9070239067077637,0.7642772793769836,0.054598428308963776,0.08814819902181625,0.00014000000000000001
300,0,0.7628092765808105,0.6784747242927551,0.03272832930088043,0.051606226712465286,0.00015
320,0,0.6818479895591736,0.5965242981910706,0.03352155536413193,0.05180218070745468,0.00016
355,1,0.5614023208618164,0.45735177397727966,0.04161189869046211,0.062438637018203735,0.0001775
375,1,0.4542514681816101,0.395084023475647,0.024027762934565544,0.035139672458171844,0.0001875
395,1,0.4588090479373932,0.3113408088684082,0.05914841964840889,0.0883198082447052,0.0001975
415,1,0.29185616970062256,0.24964869022369385,0.017050260677933693,0.025157226249575615,0.0002075
435,1,0.28922539949417114,0.19430483877658844,0.03825617581605911,0.05666438490152359,0.0002175
455,1,0.2012493908405304,0.14919081330299377,0.02114381268620491,0.03091476485133171,0.0002275
475,1,0.20399507880210876,0.11122684925794601,0.03732861578464508,0.055439628660678864,0.0002375
495,1,0.21840301156044006,0.08632373064756393,0.05278400331735611,0.07929527014493942,0.0002475
515,1,0.12540459632873535,0.0644652470946312,0.024635985493659973,0.03630336746573448,0.0002575
535,1,0.19385945796966553,0.050828300416469574,0.05660415440797806,0.08642701059579849,0.0002675
555,1,0.10889245569705963,0.04192052036523819,0.026094308122992516,0.04087762162089348,0.0002775
575,1,0.09804604947566986,0.035436294972896576,0.02461765892803669,0.03799210116267204,0.0002875
595,1,0.10711927711963654,0.028403587639331818,0.03128844127058983,0.04742724820971489,0.00029749999999999997
615,1,0.09582057595252991,0.024062709882855415,0.027256857603788376,0.04450100660324097,0.0003075
635,1,0.11490070819854736,0.020401164889335632,0.036591168493032455,0.057908374816179276,0.0003175
655,1,0.13075855374336243,0.018673911690711975,0.042131390422582626,0.06995325535535812,0.00032750000000000005
690,2,0.17527224123477936,0.014307716861367226,0.06169716641306877,0.09926735609769821,0.000345
710,2,0.049429751932621,0.015254566445946693,0.012382634915411472,0.021792549639940262,0.000355
730,2,0.10755981504917145,0.012687861919403076,0.03268558531999588,0.06218637153506279,0.000365
750,2,0.08869843184947968,0.010321500711143017,0.02744992822408676,0.05092700570821762,0.000375
770,2,0.07719668000936508,0.0103268101811409,0.022349506616592407,0.044520363211631775,0.00038500000000000003
790,2,0.13961108028888702,0.009474474005401134,0.04372551292181015,0.08641108870506287,0.000395
810,2,0.08369749784469604,0.008564895018935204,0.023936735466122627,0.05119587108492851,0.00040500000000000003
830,2,0.058752503246068954,0.0069812992587685585,0.016904039308428764,0.03486716374754906,0.000415
850,2,0.07979464530944824,0.006283179856836796,0.023697245866060257,0.04981422424316406,0.000425
870,2,0.08669117093086243,0.005920119117945433,0.024901393800973892,0.055869657546281815,0.000435
890,2,0.08065403997898102,0.005750341806560755,0.021869026124477386,0.053034670650959015,0.00044500000000000003
910,2,0.05877871811389923,0.005182704888284206,0.016141850501298904,0.037454161792993546,0.000455
930,2,0.09073550999164581,0.004739722702652216,0.02466432936489582,0.061331454664468765,0.000465
950,2,0.10104697197675705,0.004691042937338352,0.027376694604754448,0.06897923350334167,0.000475
970,2,0.081236831843853,0.003920253831893206,0.02113284356892109,0.05618373304605484,0.00048499999999999997
990,2,0.049169912934303284,0.00376116088591516,0.012059577740728855,0.0333491750061512,0.000495
1025,3,0.10376036167144775,0.0032036788761615753,0.024916205555200577,0.0756404772400856,0.0004993955364774855
1045,3,0.044400349259376526,0.00313188461586833,0.010287283919751644,0.03098118118941784,0.0004993955364774855
1065,3,0.07710546255111694,0.0028883470222353935,0.01814919337630272,0.056067924946546555,0.0004993955364774855
1085,3,0.08840896189212799,0.0025786759797483683,0.02039194479584694,0.06543833762407303,0.0004993955364774855
1105,3,0.09234941005706787,0.0024586913641542196,0.020135868340730667,0.06975485384464264,0.0004993955364774855
1125,3,0.06447642296552658,0.002317278180271387,0.013445304706692696,0.048713840544223785,0.0004993955364774855
1145,3,0.05757031589746475,0.0021725487895309925,0.011869443580508232,0.043528322130441666,0.0004993955364774855
1165,3,0.08917991816997528,0.002003688830882311,0.017691589891910553,0.0694846361875534,0.0004993955364774855
1185,3,0.09242546558380127,0.002042400650680065,0.01742054522037506,0.07296252250671387,0.0004993955364774855
1205,3,0.03812868893146515,0.001863520941697061,0.006777675822377205,0.029487494379281998,0.0004993955364774855
1225,3,0.059970974922180176,0.0017676488496363163,0.01044066995382309,0.04776265472173691,0.0004993955364774855
1245,3,0.05871191620826721,0.0016506242100149393,0.009850984439253807,0.04721030965447426,0.0004993955364774855
1265,3,0.0696377083659172,0.0015923110768198967,0.011219274252653122,0.05682612583041191,0.0004993955364774855
1285,3,0.038707271218299866,0.0015056068077683449,0.006403736770153046,0.03079792857170105,0.0004993955364774855
1305,3,0.12305810302495956,0.001428297022357583,0.01837107166647911,0.10325873643159866,0.0004993955364774855
1325,3,0.07017992436885834,0.0013357496354728937,0.009966823272407055,0.05887734889984131,0.0004993955364774855
1360,4,0.10748284310102463,0.0012438573176041245,0.014440754428505898,0.09179823100566864,0.0004985501228564457
1380,4,0.10300961881875992,0.001184803550131619,0.013098323717713356,0.08872649073600769,0.0004985501228564457
1400,4,0.08813045918941498,0.001141739310696721,0.010690765455365181,0.07629795372486115,0.0004985501228564457
1420,4,0.03722640499472618,0.0010860294569283724,0.004210989456623793,0.0319293849170208,0.0004985501228564457
1440,4,0.05956236645579338,0.001103021902963519,0.00643034465610981,0.052028998732566833,0.0004985501228564457
1460,4,0.08656591176986694,0.0010089122224599123,0.008799117058515549,0.07675788551568985,0.0004985501228564457
1480,4,0.05827866494655609,0.0009821434505283833,0.005589434877038002,0.051707085222005844,0.0004985501228564457
1500,4,0.06371475011110306,0.0009306375868618488,0.005714059807360172,0.0570700503885746,0.0004985501228564457
1520,4,0.07396568357944489,0.0009124358184635639,0.006267525255680084,0.06678572297096252,0.0004985501228564457
1540,4,0.08768554776906967,0.0008669714443385601,0.006938200443983078,0.07988037914037704,0.0004985501228564457
1560,4,0.05626228451728821,0.0008388464921154082,0.004074251279234886,0.05134918540716171,0.0004985501228564457
1580,4,0.06744751334190369,0.0008276498992927372,0.0045581841841340065,0.06206168234348297,0.0004985501228564457
1600,4,0.04234522581100464,0.0008061255794018507,0.0026012915186583996,0.03893780708312988,0.0004985501228564457
1620,4,0.12281865626573563,0.0007702558068558574,0.007158688735216856,0.1148897111415863,0.0004985501228564457
1640,4,0.07202550023794174,0.0007499148487113416,0.003800279926508665,0.06747530400753021,0.0004985501228564457
1660,4,0.09004048258066177,0.0007620002725161612,0.004286829382181168,0.08499165624380112,0.0004985501228564457
20,0,1.5448344945907593,1.4687036275863647,0.027626844123005867,0.048503994941711426,5e-05
40,0,1.6238679885864258,1.4248785972595215,0.07211039960384369,0.12687894701957703,5e-05
60,0,1.459593653678894,1.3816490173339844,0.02839835174381733,0.04954618588089943,5e-05
80,0,1.3930606842041016,1.3358948230743408,0.020893678069114685,0.036272190511226654,5e-05
100,0,1.4208756685256958,1.3013646602630615,0.04385827109217644,0.07565269619226456,5e-05
120,0,1.3097997903823853,1.2689048051834106,0.014978982508182526,0.025915956124663353,6e-05
140,0,1.3275907039642334,1.2117124795913696,0.042597830295562744,0.07328029721975327,7.000000000000001e-05
160,0,1.2859567403793335,1.1673767566680908,0.043535906821489334,0.07504408806562424,8e-05
180,0,1.1496951580047607,1.1127281188964844,0.01385451015084982,0.023112481459975243,8.999999999999999e-05
200,0,1.1566579341888428,1.0574088096618652,0.037074752151966095,0.062174297869205475,0.0001
220,0,1.1143821477890015,0.9895545244216919,0.04725745692849159,0.07757021486759186,0.00011
240,0,0.9869099259376526,0.9251657724380493,0.023272773250937462,0.038471419364213943,0.00012
260,0,0.9303925633430481,0.841859757900238,0.03369464725255966,0.05483818054199219,0.00013000000000000002
20,0,0.735795259475708,0.6538122892379761,0.026373175904154778,0.0556098148226738,5e-05
40,0,0.7289927005767822,0.6069080233573914,0.03754214197397232,0.08454253524541855,5e-05
60,0,0.6682834029197693,0.5528169870376587,0.030458616092801094,0.08500780165195465,5e-05
80,0,0.5952929258346558,0.49905824661254883,0.027736403048038483,0.06849825382232666,5e-05
100,0,0.4998895525932312,0.464752197265625,0.009741370566189289,0.025395993143320084,5e-05
120,0,0.4657413065433502,0.42387813329696655,0.011633154936134815,0.03023000992834568,6e-05
140,0,0.4494650661945343,0.37909436225891113,0.014682374894618988,0.05568831041455269,7.000000000000001e-05
160,0,0.4034132957458496,0.3370802402496338,0.014982947148382664,0.05135011300444603,8e-05
180,0,0.3422965407371521,0.29583343863487244,0.012036124244332314,0.0344269834458828,8.999999999999999e-05
200,0,0.303066611289978,0.2533009350299835,0.009312614798545837,0.040453072637319565,0.0001
220,0,0.29390984773635864,0.21584159135818481,0.009208010509610176,0.06886023283004761,0.00011
240,0,0.23447252810001373,0.17472273111343384,0.008045109920203686,0.05170469358563423,0.00012
260,0,0.1756182312965393,0.1362440139055252,0.00532814534381032,0.034046076238155365,0.00013000000000000002
280,0,0.19994862377643585,0.10403662174940109,0.0072223418392241,0.0886896625161171,0.00014000000000000001
300,0,0.1735743135213852,0.08049004524946213,0.003915794659405947,0.0891684740781784,0.00015
320,0,0.08347772806882858,0.06447169184684753,0.001234747003763914,0.017771286889910698,0.00016
355,1,0.13411130011081696,0.04394242912530899,0.0024749641306698322,0.08769390732049942,0.0001775
375,1,0.10589136183261871,0.0358605831861496,0.0012578320456668735,0.06877294182777405,0.0001875
395,1,0.1199178397655487,0.03016825020313263,0.0013687813188880682,0.08838080614805222,0.0001975
415,1,0.08161842823028564,0.025746017694473267,0.0005100223934277892,0.055362384766340256,0.0002075
435,1,0.10732332617044449,0.021041642874479294,0.0004959501675330102,0.08578573167324066,0.0002175
455,1,0.06572373956441879,0.01874101161956787,0.0002507647150196135,0.046731963753700256,0.0002275
475,1,0.04085208848118782,0.015708856284618378,0.001381568145006895,0.02376166358590126,0.0002375
495,1,0.05624934285879135,0.013664832338690758,0.0003117508313152939,0.04227275773882866,0.0002475
515,1,0.0926426351070404,0.011975749395787716,0.000409682426834479,0.08025720715522766,0.0002575
20,0,0.735795259475708,0.6538122892379761,0.026373175904154778,0.0556098148226738,5e-05
40,0,0.7289927005767822,0.6069080233573914,0.03754214197397232,0.08454253524541855,5e-05
60,0,0.6682834029197693,0.5528169870376587,0.030458616092801094,0.08500780165195465,5e-05
80,0,0.5952929258346558,0.49905824661254883,0.027736403048038483,0.06849825382232666,5e-05
100,0,0.4998895525932312,0.464752197265625,0.009741370566189289,0.025395993143320084,5e-05
120,0,0.4657413065433502,0.42387813329696655,0.011633154936134815,0.03023000992834568,6e-05
140,0,0.4494650661945343,0.37909436225891113,0.014682374894618988,0.05568831041455269,7.000000000000001e-05
160,0,0.4034132957458496,0.3370802402496338,0.014982947148382664,0.05135011300444603,8e-05
180,0,0.3422965407371521,0.29583343863487244,0.012036124244332314,0.0344269834458828,8.999999999999999e-05
200,0,0.303066611289978,0.2533009350299835,0.009312614798545837,0.040453072637319565,0.0001
220,0,0.29390984773635864,0.21584159135818481,0.009208010509610176,0.06886023283004761,0.00011
240,0,0.23447252810001373,0.17472273111343384,0.008045109920203686,0.05170469358563423,0.00012
260,0,0.1756182312965393,0.1362440139055252,0.00532814534381032,0.034046076238155365,0.00013000000000000002
280,0,0.19994862377643585,0.10403662174940109,0.0072223418392241,0.0886896625161171,0.00014000000000000001
300,0,0.1735743135213852,0.08049004524946213,0.003915794659405947,0.0891684740781784,0.00015
320,0,0.08347772806882858,0.06447169184684753,0.001234747003763914,0.017771286889910698,0.00016
355,1,0.13411130011081696,0.04394242912530899,0.0024749641306698322,0.08769390732049942,0.0001775
375,1,0.10589136183261871,0.0358605831861496,0.0012578320456668735,0.06877294182777405,0.0001875
395,1,0.1199178397655487,0.03016825020313263,0.0013687813188880682,0.08838080614805222,0.0001975
415,1,0.08161842823028564,0.025746017694473267,0.0005100223934277892,0.055362384766340256,0.0002075
435,1,0.10732332617044449,0.021041642874479294,0.0004959501675330102,0.08578573167324066,0.0002175
455,1,0.06572373956441879,0.01874101161956787,0.0002507647150196135,0.046731963753700256,0.0002275
475,1,0.04085208848118782,0.015708856284618378,0.001381568145006895,0.02376166358590126,0.0002375
495,1,0.05624934285879135,0.013664832338690758,0.0003117508313152939,0.04227275773882866,0.0002475
515,1,0.0926426351070404,0.011975749395787716,0.000409682426834479,0.08025720715522766,0.0002575
